profile,actor,DD,DPS
apl_sheet226_lm_na_1,pi_sync_hv_trink_pi_or_vf,1389467,4769,
apl_sheet226_lm_na_1,pi_sync_hv_trink_vf,1389284,4768,
apl_sheet226_lm_na_1,vf_sync_am,1347520,4641,
apl_sheet226_lm_na_1,vf_sync_am_trink_pi,1347391,4641,
apl_sheet226_lm_na_1,vf_sync_am_trink_pi_or_vf,1347775,4642,
apl_sheet226_lm_na_1,vf_sync_am_trink_vf,1347670,4642,
apl_sheet226_lm_na_1,vf_sync_hv,1347624,4641,
apl_sheet226_lm_na_1,vf_sync_hv_trink_pi,1347806,4642,
apl_sheet226_lm_na_1,vf_sync_hv_trink_pi_or_vf,1347789,4642,
apl_sheet226_lm_na_1,vf_sync_hv_trink_vf,1347802,4642,
apl_sheet226_lm_na_2,Base,1598269,5464,
apl_sheet226_lm_na_2,Base_am,1546410,5303,
apl_sheet226_lm_na_2,on_cd_am,1546791,5303,
apl_sheet226_lm_na_2,on_cd_am_trink_pi,1546812,5303,
apl_sheet226_lm_na_2,on_cd_am_trink_pi_or_vf,1546101,5301,
apl_sheet226_lm_na_2,on_cd_am_trink_vf,1547187,5305,
apl_sheet226_lm_na_2,on_cd_hv,1597971,5463,
apl_sheet226_lm_na_2,on_cd_hv_trink_pi,1597940,5463,
apl_sheet226_lm_na_2,on_cd_hv_trink_pi_or_vf,1597730,5462,
apl_sheet226_lm_na_2,on_cd_hv_trink_vf,1598616,5465,
apl_sheet226_lm_na_2,pi_sync_am_trink_pi,1546613,5302,
apl_sheet226_lm_na_2,pi_sync_am_trink_pi_or_vf,1546360,5302,
apl_sheet226_lm_na_2,pi_sync_am_trink_vf,1546251,5302,
apl_sheet226_lm_na_2,pi_sync_hv_trink_pi,1598471,5465,
apl_sheet226_lm_na_2,pi_sync_hv_trink_pi_or_vf,1598878,5466,
apl_sheet226_lm_na_2,pi_sync_hv_trink_vf,1598522,5465,
apl_sheet226_lm_na_2,vf_sync_am,1546257,5301,
apl_sheet226_lm_na_2,vf_sync_am_trink_pi,1546228,5302,
apl_sheet226_lm_na_2,vf_sync_am_trink_pi_or_vf,1546216,5301,
apl_sheet226_lm_na_2,vf_sync_am_trink_vf,1546698,5303,
apl_sheet226_lm_na_2,vf_sync_hv,1546190,5301,
apl_sheet226_lm_na_2,vf_sync_hv_trink_pi,1546509,5302,
apl_sheet226_lm_na_2,vf_sync_hv_trink_pi_or_vf,1545803,5300,
apl_sheet226_lm_na_2,vf_sync_hv_trink_vf,1546135,5301,
apl_sheet226_lm_sa_1,Base,1401171,4808,
apl_sheet226_lm_sa_1,Base_am,1362244,4689,
